nazwa_leku,substancja_czynna,postac_leku,dawka_leku,zawartosc_opakowania,identyfikator_leku,lp
Accupro 20,Quinaprilum, tabl. powl., 20 mg,30 szt.,05909990707119,33
Accupro 40,Quinaprilum, tabl. powl., 40 mg,28 szt.,05909991080129,34
Accupro 5,Quinaprilum, tabl. powl., 5 mg,30 szt.,05909990706914,35
Acebutolol Aurovitas,Acebutololi hydrochloridum, tabl. powl., 200 mg,30 szt.,05909991370916,36
Acebutolol Aurovitas,Acebutololi hydrochloridum, tabl. powl., 400 mg,30 szt.,05909991370954,37
Acebutolol Gedeon Richter,Acebutololum, tabl. powl., 200 mg,30 szt.,05909990109920,38
Acebutolol Gedeon Richter,Acebutololum, tabl. powl., 400 mg,30 szt.,05909990110018,39
Acenocumarol WZF,Acenocoumarolum, tabl., 4 mg,60 szt.,05909990055715,40
Aciclovir Aurovitas,Aciclovirum, tabl., 200 mg,30 szt.,05909991413590,41
Aciclovir Aurovitas,Aciclovirum, tabl., 400 mg,30 szt.,05909991413675,42
Aciclovir Aurovitas,Aciclovirum, tabl., 800 mg,30 szt.,05909991413736,43
Acidum folicum Richter,Acidum folicum, tabl., 5 mg,30 szt.,05909990109210,44
Acidum folicum Richter,Acidum folicum, tabl., 15 mg,30 szt.,05909990109319,45
Acitren,Acitretinum, kaps. twarde, 10 mg,30 szt.,05909990907731,46
Acitren,Acitretinum, kaps. twarde, 10 mg,100 szt.,05909990907755,47
Acitren,Acitretinum, kaps. twarde, 25 mg,30 szt.,05909990907762,48
Acitren,Acitretinum, kaps. twarde, 25 mg,100 szt.,05909990907786,49
Aclotin,Ticlopidini hydrochloridum, tabl. powl., 0.25 g,60 szt.,05909990334971,50
Aclotin,Ticlopidini hydrochloridum, tabl. powl., 0.25 g,20 szt.,05909990667116,51
Actelsar,Telmisartanum, tabl., 40 mg,28 szt.,05909990891832,52
Actelsar,Telmisartanum, tabl., 80 mg,28 szt.,05909990891863,53
Actelsar HCT,Telmisartanum + Hydrochlorothiazidum, tabl., 80+12.5 mg,28 szt.,05909991056247,54
Actelsar HCT,Telmisartanum + Hydrochlorothiazidum, tabl., 80+25 mg,28 szt.,05909991056773,55
Acticoat Flex 3 10cm x 10cm,Emplastri antimicrobiotica, opatrunek o rozmiarach 10cm x 10cm pokryty nanokrystalicznym srebrem, 100 cm?,1 szt.,0040565124810,56
Acticoat Flex 3 10cm x 20cm,Emplastri antimicrobiotica, opatrunek o rozmiarach 10cm x 20cm pokryty nanokrystalicznym srebrem, 200 cm?,1 szt.,0040565124858,57
Acticoat Flex 3 20cm x 40cm,Emplastri antimicrobiotica, opatrunek o rozmiarach 20cm x 40cm pokryty nanokrystalicznym srebrem, 800 cm?,1 szt.,0040565124872,58
Actisorb Plus 25 10.5x10.5 cm,Emplastri antimicrobiotica, opatrunek, 110.25 cm?,1 szt.,15051978002970,59
Actisorb Plus 25 10.5x19 cm,Emplastri antimicrobiotica, opatrunek, 199.5 cm?,1 szt.,15051978002994,60
Activelle,Estradiolum + Norethisteronum, tabl. powl., 1+0.5 mg,28 szt.,05909990451210,61
Actrapid Penfill,Insulinum humanum, roztwór do wstrzykiwañ we wk³adzie, 100 j.m./ml,5 wk³.po 3 ml,05909990237920,62
Acurenal,Quinaprilum, tabl. powl., 40 mg,30 szt.,05909990953882,63
Acurenal,Quinaprilum, tabl. powl., 5 mg,30 szt.,05909991125417,64
Acurenal,Quinaprilum, tabl. powl., 10 mg,30 szt.,05909991125516,65
Acurenal,Quinaprilum, tabl. powl., 20 mg,30 szt.,05909991125615,66
Adablok,Solifenacini succinas, tabl. powl., 5 mg,30 szt.,05906414003741,67
Adablok,Solifenacini succinas, tabl. powl., 10 mg,30 szt.,05906414003758,68
Adadox,Doxazosinum, tabletki, 2 mg,30 tabl.,05909990901890,69
Adadox,Doxazosinum, tabletki, 4 mg,30 tabl.,05909990902255,70
Adadox,Doxazosinum, tabletki, 4 mg,90 tabl.,05909990902293,71
Adadut,Dutasteridum, kaps. miêkkie, 0.5 mg,30 szt.,05909991328696,72
Adaptic 12.7x22.9 cm,Emplastri microfibricum cellulosae, opatrunek, 290.83 cm?,1 szt.,15051978000174,73
Adaptic 7.6x40.6 cm,Emplastri microfibricum cellulosae, opatrunek, 308.56 cm?,1 szt.,15051978000167,74
Adaster,Finasteridum, tabl. powl., 5 mg,30 szt.,05909990711949,75
Adaster,Finasteridum, tabl. powl., 5 mg,90 szt.,05909990711987,76
Adatam,Tamsulosini hydrochloridum, kaps. o zmodyfikowanym uwalnianiu; twarde, 0.4 mg,90 szt.,05906414001501,77
Adatam,Tamsulosini hydrochloridum, kaps. o zmodyfikowanym uwalnianiu; twarde, 0.4 mg,30 szt.,05909990622726,78
Adatam XR,Tamsulosini hydrochloridum, tabl. o przed³. uwalnianiu, 0.4 mg,30 szt.,05900411005883,79
Adatam XR,Tamsulosini hydrochloridum, tabl. o przed³. uwalnianiu, 0.4 mg,90 szt.,05900411005906,80
Adatam XR,Tamsulosini hydrochloridum, tabl. o przed³. uwalnianiu, 0.4 mg,120 szt.,05900411005920,81
Adcetris,Brentuximabum vedotinum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 50 mg,1 fiol.,05909991004545,82
Adeksa,Acarbosum, tabl., 50 mg,30 szt.,05909990893386,83
Adeksa,Acarbosum, tabl., 100 mg,30 szt.,05909990893423,84
Adempas,Riociguatum, tabl. powl., 0.5 mg,42 szt.,05908229300305,85
Adempas,Riociguatum, tabl. powl., 1 mg,42 szt.,05908229300336,86
Adempas,Riociguatum, tabl. powl., 1.5 mg,42 szt.,05908229300367,87
Adempas,Riociguatum, tabl. powl., 2 mg,42 szt.,05908229300398,88
Adempas,Riociguatum, tabl. powl., 2.5 mg,42 szt.,05908229300428,89
Adenuric,Febuxostatum, tabl. powl., 80 mg,28 szt.,05909990761548,90
Adenuric,Febuxostatum, tabl. powl., 120 mg,28 szt.,05909990761562,91
Adipine,Amlodipinum, tabl., 10 mg,30 szt.,05909990642267,92
Adipine,Amlodipinum, tabl., 5 mg,30 szt.,05909990642311,93
Adrenalina WZF,Adrenalinum, roztwór do wstrzykiwañ, 300 ?g/0.3 ml,1 amp.-strz.po 1 ml,05909991069711,94
Adriblastina PFS,Doxorubicinum, roztwór do wstrzykiwañ, 2 mg/ml,1 fiol.po 5 ml,05909990471010,95
Adriblastina PFS,Doxorubicini hydrochloridum, roztwór do wstrzykiwañ, 2 mg/ml,1 fiol.po 25 ml,05909990471027,96
Advagraf,Tacrolimusum, kaps. o przed³u¿onym uwalnianiu; twarde, 0.5 mg,30 szt.,05909990051052,97
Advagraf,Tacrolimusum, kaps. o przed³u¿onym uwalnianiu; twarde, 1 mg,30 szt.,05909990051076,98
Advagraf,Tacrolimusum, kaps. o przed³u¿onym uwalnianiu; twarde, 5 mg,30 szt.,05909990051137,99
Advagraf,Tacrolimusum, kaps. o przed³u¿onym uwalnianiu; twarde, 3 mg,30 szt.,05909990699957,100
Advate,Octocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 250 j.m.,1 fiol. z proszkiem + 1 fiol. z rozpuszczalnikiem po 5 ml,05909990224302,101
Advate,Octocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 500 j.m.,1 fiol. z proszkiem + 1 fiol. z rozpuszczalnikiem po 5 ml,05909990224333,102
Advate,Octocog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1000 j.m.,1 fiol.z prosz. + 1 fiol.z rozp.po 5 ml,05909990224340,103
Advate,Octocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1500 j.m.,1 fiol. z proszkiem + 1 fiol. z rozpuszczalnikiem po 5 ml,05909990224357,104
Advate,Octocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 2000 j.m.,1 fiol. z proszkiem + 1 fiol. z rozpuszczalnikiem po 5 ml,05909990697441,105
Advate,Octocogum alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 3000 j.m.,1 fiol. z proszkiem + 1 fiol. z rozpuszczalnikiem po 5 ml,05909990697458,106
Afenix,Solifenacini succinas, tabl. powl., 5 mg,30 szt.,05909991349226,107
Afenix,Solifenacini succinas, tabl. powl., 10 mg,30 szt.,05909991349325,108
Afinitor,Everolimusum, tabl., 5 mg,30 szt.,05909990711567,109
Afinitor,Everolimusum, tabl., 10 mg,30 szt.,05909990711598,110
Afstyla,Lonoctocog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 250 j.m.,1 fiol. proszku + 1 fiol rozp. + zestaw do podawania,05909991326098,111
Afstyla,Lonoctocog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 500 j.m.,1 fiol. proszku + 1 fiol rozp. + zestaw do podawania,05909991326104,112
Afstyla,Lonoctocog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1000 j.m.,1 fiol. proszku + 1 fiol rozp. + zestaw do podawania,05909991326111,113
Afstyla,Lonoctocog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1500 j.m.,1 fiol. proszku + 1 fiol rozp. + zestaw do podawania,05909991326128,114
Afstyla,Lonoctocog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 2000 j.m.,1 fiol. proszku + 1 fiol rozp. + zestaw do podawania,05909991326135,115
Afstyla,Lonoctocog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 2500 j.m.,1 fiol. proszku + 1 fiol rozp. + zestaw do podawania,05909991326142,116
Afstyla,Lonoctocog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 3000 j.m.,1 fiol. proszku + 1 fiol rozp. + zestaw do podawania,05909991326159,117
Agastin 20 mg,Omeprazolum, kaps. dojel. twarde, 20 mg,28 szt.,05909990068425,118
Agen 10,Amlodipinum, tabl., 10 mg,60 szt. (6 blist.po 10 szt. lub 4 blist.po 15 szt.),05909991067540,119
Agen 10,Amlodipinum, tabl., 10 mg,30 szt.,05909991099022,120
Agen 10,Amlodipinum, tabletki, 10 mg,30 tabl.,05909991302184,121
Agen 10,Amlodipinum, tabl., 10 mg,60 szt.,05909991436636,122
Agen 5,Amlodipinum, tabl., 5 mg,60 szt. (6 blist.po 10 szt. lub 4 blist.po 15 szt.),05909991067533,123
Agen 5,Amlodipinum, tabl., 5 mg,30 szt.,05909991098926,124
Agen 5,Amlodipinum, tabletki, 5 mg,30 tabl.,05909991295226,125
Agen 5,Amlodipinum, tabl., 5 mg,60 szt.,05909991295233,126
Agen 5,Amlodipinum, tabl., 5 mg,60 szt.,05909991436759,127
Aglan 15,Meloxicamum, tabl., 15 mg,20 szt. (2 blist.po 10 szt.),05909990224883,128
Aglan 15,Meloxicamum, tabl., 15 mg,30 szt. (3 blist.po 10 szt.),05909990610006,129
Agolek,Agomelatinum, tabl. powl., 25 mg,28 szt.,05909991388768,130
Agomelatine +pharma,Agomelatinum, tabl. powl., 25 mg,90 szt.,05901720140418,131
Agomelatine +pharma,Agomelatinum, tabl. powl., 25 mg,30 szt.,05901720140494,132
Agomelatine Adamed,Agomelatinum, tabl. powl., 25 mg,28 szt.,05909991387266,133
Agomelatine G.L. Pharma,Agomelatinum, tabl. powl., 25 mg,28 szt.,09008732009293,134
Agomelatyna Egis,Agomelatinum, tabl. powl., 25 mg,28 szt.,05995327174952,135
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909990754748,136
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991251949,137
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991397005,138
Airbufo Forspiro,Budesonidum + Formoteroli fumaras dihydricus, proszek do inhalacji; podzielony, 160+4.5 µg/dawkê inhalacyjn¹,2 inh. po 60 dawek,05907626709476,139
Airbufo Forspiro,Budesonidum + Formoteroli fumaras dihydricus, proszek do inhalacji, 160+4.5 µg/dawkê inhalacyjn¹,1 inh. po 60 dawek,07613421020866,140
Airbufo Forspiro,Budesonidum + Formoteroli fumaras dihydricus, proszek do inhalacji, 320+9 µg/dawkê inhalacyjn¹,1 inh.po 60 daw.,07613421047047,141
AirFluSal Forspiro,Fluticasoni propionas + Salmeterolum, proszek do inhalacji, 250+50 µg,1 inh.po 60 daw.,05909991274931,142
AirFluSal Forspiro,Fluticasoni propionas + Salmeterolum, proszek do inhalacji, 500+50 µg,1 inh.po 60 daw.,05909991274955,143
AirFluSal Forspiro,Fluticasoni propionas + Salmeterolum, proszek do inhalacji; podzielony, 250+50 (µg + µg)/dawkê inhalacyjn¹,1 inhalator 60 dawek,05909991442064,144
AirFluSal Forspiro,Fluticasoni propionas + Salmeterolum, proszek do inhalacji; podzielony, 250+50 (µg + µg)/dawkê inhalacyjn¹,1 inhalator 60 dawek,05909991447915,145
Akineton,Biperideni hydrochloridum, tabl., 2 mg,50 szt.,05909990193219,146
Akineton,Biperidenum, tabl., 2 mg,50 szt.,05909990503834,147
Akineton,Biperideni hydrochloridum, tabl., 2 mg,50 szt.,05909991265762,148
Akineton,Biperideni hydrochloridum, tabl., 2 mg,50 szt.,05909991447311,149
Akineton SR 4 mg,Biperidenum, tabl. o przed³u¿onym uwalnianiu, 4 mg,30 szt.,05909990884216,150
Akistan,Latanoprostum, krople do oczu; roztwór, 50 µg/ml,1 but.po 2;5 ml,05909990995479,151
Akistan,Latanoprostum, krople do oczu; roztwór, 50 µg/ml,3 but.po 2;5 ml,05909991189792,152
Akistan Duo,Latanoprostum + Timololum, krople do oczu; roztwór, 50+5 µg/ml + mg/ml,1 but. po 2;5 ml,05909991429249,153
Akistan Duo,Latanoprostum + Timololum, krople do oczu; roztwór, 50+5 µg/ml + mg/ml,3 but.po 2;5 ml,05909991429256,154
Akynzeo,Netupitantum + Palonosetroni hydrochloridum, kaps. twarde, 300+0.5 mg,1 szt.,05909991246563,155
Aldan,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909991008635,156
Aldan,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909991008734,157
Aldurazyme,Laronidasum, koncentrat do sporz¹dzania roztworu do infuzji, 100 j.m./ml,1 fiol.po 5 ml,05909990005673,158
Alecensa,Alectinibum, kaps. twarde, 150 mg,224 szt.,05902768001143,159
Alendran 70,Acidum alendronicum, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),05909990072156,160
Alendrogen,Acidum alendronicum, tabl., 70 mg,4 szt.,05909990623112,161
Alendronat Bluefish,Acidum alendronicum, tabl., 70 mg,4 szt.,05909990737673,162
Alendronic Acid Genoptim,Acidum alendronicum, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),05909990675302,163
Alermed,Cetirizinum, tabl. powl., 10 mg,30 szt.,05909990910793,164
Alexan,Cytarabinum, roztwór do infuzji, 50 mg/ml,1 fiol.po 10 ml,05909990181216,165
Alexan,Cytarabinum, roztwór do infuzji, 50 mg/ml,1 fiol.po 20 ml,05909990181223,166
Alexan,Cytarabinum, roztwór do infuzji, 50 mg/ml,1 fiol.po 40 ml,05909990624935,167
Alexan,Cytarabinum, roztwór do wstrzykiwañ, 20 mg/ml,1 fiol.po 5 ml,05909990640188,168
Alfabax,Alfuzosini hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 10 mg,30 szt. (3 blist.po 10 szt.),05909990746576,169
Alfurion,Alfuzosini hydrochloridum, tabl. o przed³. uwalnianiu, 10 mg,30 szt.,05909991291945,170
Alfuzostad 10 mg,Alfuzosini hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 10 mg,30 szt.,05909990619580,171
Alkeran,Melphalanum, tabl.powl., 2 mg,25 szt.,05909990283514,172
Allertec,Cetirizini dihydrochloridum, tabl. powl., 10 mg,30 szt.,05909990569441,173
Allertec,Cetirizini dihydrochloridum, syrop, 5 mg/5 ml,1 but.po 100 ml,05909990851119,174
Allertec,Cetirizini dihydrochloridum, krople doustne; roztwór, 10 mg/ml,1 butelka 10 ml,05909991103811,175
Allertec,Cetirizini dihydrochloridum, krople doustne; roztwór, 10 mg/ml,1 butelka 20 ml,05909991103835,176
Allevyn Adhesive,Emplastri polyurethanum spumatum, opatrunek specjalistyczny - samoprzylepny; nawil¿aj¹ca pianka poliuretanowa o rozmiarze 12;5cm x 12;5cm, 156.25 cm?,1 szt.,5000223415587,177
Allevyn Adhesive,Emplastri polyurethanum spumatum, opatrunek specjalistyczny - samoprzylepny; nawil¿aj¹ca pianka poliuretanowa o rozmiarze 17;5cm x 17;5cm, 306.25 cm?,1 szt.,5000223415594,178
Allevyn Adhesive,Emplastri polyurethanum spumatum, opatrunek specjalistyczny - samoprzylepny; nawil¿aj¹ca pianka poliuretanowa o rozmiarze 22;5cm x 22;5cm, 506.25 cm?,1 szt.,5000223416799,179
Allevyn Ag Adhesive,Emplastri antimicrobiotica, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 7;5cm x 7;5cm zawieraj¹ca sulfadiazynê srebra, 56.25 cm?,1 szt.,5000223461621,180
Allevyn Ag Adhesive,Emplastri antimicrobiotica, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10cm x 10cm zawieraj¹ca sulfadiazynê srebra, 100 cm?,1 szt.,5000223461652,181
Allevyn Ag Adhesive 12.5x12.5 cm,Emplastri antimicrobiotica, pianka poliuretanowa o rozmiarze 12;5cm x 12;5cm zawieraj¹ca sulfadiazynê srebra, 156.25 cm?,1 szt.,5000223462222,182
Allevyn Ag Heel,Emplastri antimicrobiotica, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10;5 cm x 13;5 cm zawieraj¹ca sulfadiazynê srebra, 141.75 cm?,1 szt.,5000223461928,183
Allevyn Ag Non Adhesive,Emplastri antimicrobiotica, opatrunek o rozmiarach 15cm x 15cm zawieraj¹cy sulfadiazynê srebra, 225 cm?,1 szt.,5000223461805,184
Allevyn Ag Non Adhesive,Emplastri antimicrobiotica, opatrunek o rozmiarach 20cm x 20cm zawieraj¹cy sulfadiazynê srebra, 400 cm?,1 szt.,5000223461836,185
Allevyn Ag Non Adhesive,Emplastri antimicrobiotica, opatrunek o rozmiarach 10cm x 10cm zawieraj¹cy sulfadiazynê srebra; nie posiadaj¹cy warstwy adhezyjnej, 100 cm?,1 szt.,5000223462314,186
Allevyn Ag Sacrum,Emplastri antimicrobiotica, opatrunek specjalistyczny - pianka poliuretanowa na okolicê krzy¿ow¹ o rozmiarze 17cm x 17cm zawieraj¹ca sulfadiazynê, 289 cm?,1 szt.,5000223461867,187
Allevyn Ag Sacrum,Emplastri antimicrobiotica, opatrunek specjalistyczny - pianka poliuretanowa na okolicê krzy¿ow¹ o rozmiarze 22cm x 22cm zawieraj¹ca sulfadiazynê, 484 cm?,1 szt.,5000223461898,188
Allevyn Gentle Border 10x10 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 100 cm?,1 szt.,5000223463908,189
Allevyn Gentle Border 10x20 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 200 cm?,1 szt.,5000223476182,190
Allevyn Gentle Border 12.5x12.5 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 156.25 cm?,1 szt.,5000223463960,191
Allevyn Gentle Border 17.5x17.5 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 306.25 cm?,1 szt.,5000223463991,192
Allevyn Gentle Border 7.5x7.5 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 56.25 cm?,1 szt.,5000223463878,193
Allevyn Gentle Border Heel 23x23.2 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 471 cm?,1 szt.,5000223465230,194
Allevyn Gentle Border Lite 10x10 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 100 cm?,1 szt.,5000223475499,195
Allevyn Gentle Border Lite 15x15 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 225 cm?,1 szt.,5000223475581,196
Allevyn Gentle Border Lite 8x8 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 64 cm?,1 szt.,5000223475611,197
Allevyn Gentle Border Lite Oval 15.2x13.1 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 156 cm?,1 szt.,5000223476885,198
Allevyn Gentle Border Multisite 17.1x17.9 cm,Emplastri microfibricum cellulosae, opatrunek piankowy z warstw¹ adhezyjn¹ zawieraj¹c¹ silikon, 225 cm?,1 szt.,5000223476502,199
Allevyn Heel,Emplastri polyurethanum spumatum, opatrunek specjalistyczny - pianka poliuretanowa o rozmiarze 10;5cm x 13;5cm kszta³t przystosowany do za³o¿enia na piêtê, 141.75 cm?,1 szt.,5000223426705,200
Allevyn Life,Emplastri microfibricum cellulosae, opatrunek specjalistyczny - samoprzylepny; z³o¿ony; hydrokomórkowy opatrunek piankowy z ¿elem silikonowym o rozmiarze 10;3cm x 10;3cm, 93 cm?,1 szt.,5000223477981,201
Allevyn Life,Emplastri microfibricum cellulosae, opatrunek specjalistyczny - samoprzylepny; z³o¿ony; hydrokomórkowy opatrunek piankowy z ¿elem silikonowym o rozmiarze 12;9cm x 12;9cm, 146 cm?,1 szt.,5000223478018,202
Allevyn Life,Emplastri microfibricum cellulosae, opatrunek specjalistyczny - samoprzylepny; z³o¿ony; hydrokomórkowy opatrunek piankowy z ¿elem silikonowym o rozmiarze 15;4cm x 15;4cm, 211 cm?,1 szt.,5000223478049,203
Allevyn Life,Emplastri microfibricum cellulosae, opatrunek specjalistyczny - samoprzylepny; z³o¿ony; hydrokomórkowy opatrunek piankowy z ¿elem silikonowym o rozmiarze 21cm x 21cm, 392 cm?,1 szt.,5000223478070,204
Allevyn Life Heel,Emplastri microfibricum cellulosae, opatrunek specjalistyczny - samoprzylepny; z³o¿ony; hydrokomórkowy opatrunek piankowy z ¿elem silikonowym o rozmiarze 25cm x 25;2cm kszta³t przystosowany do za³o¿enia na piêtê, 545 cm?,1 szt.,5000223482503,205
Allevyn Life Sacrum,Emplastri microfibricum cellulosae, opatrunek specjalistyczny - samoprzylepny; z³o¿ony; hydrokomórkowy opatrunek piankowy z ¿elem silikonowym na okolicê krzy¿ow¹ o rozmiarze 17;2cm x 17;5cm, 235 cm?,1 szt.,5000223481421,206
Allevyn Life Sacrum,Emplastri microfibricum cellulosae, opatrunek specjalistyczny - samoprzylepny; z³o¿ony; hydrokomórkowy opatrunek piankowy z ¿elem silikonowym na okolicê krzy¿ow¹ o rozmiarze 21;6cm x 23cm, 386 cm?,1 szt.,5000223481452,207
Allevyn Non Adhesive 10x10 cm,Emplastri polyurethanum spumatum, opatrunek poliuretanowy, 100 cm?,1 szt.,5000223415846,208
Allevyn Non Adhesive 10x20 cm,Emplastri polyurethanum spumatum, opatrunek poliuretanowy, 200 cm?,1 szt.,5000223416775,209
Allevyn Non Adhesive 20x20 cm,Emplastri polyurethanum spumatum, opatrunek poliuretanowy, 400 cm?,1 szt.,5000223415853,210
Allevyn Sacrum,Emplastri polyurethanum spumatum, opatrunek specjalistyczny - pianka poliuretanowa na okolicê krzy¿ow¹ o rozmiarze 22cm x 22cm, 484 cm?,1 szt.,5000223426736,211
Allupol,Allopurinolum, tabl., 100 mg,50 szt.,05909990109418,212
Allupol,Allopurinolum, tabletki, 300 mg,30 tabl.,05909991316228,213
Alneta,Amlodipinum, tabl., 5 mg,30 szt.,05909991067977,214
