identyfikator_leku,zakres_wskazan,zakres_wskazan_pozarejestracyjnych,poziom_odplatnosci,wysokosc_doplaty_swiadczeniobiorcy,id_leku
4015630056316,Cukrzyca,,30%,11.65,29
4015630067732,Cukrzyca typu I; Pozosta³e typy cukrzycy wymagaj¹ce co najmniej 3 wstrzykniêæ insuliny na dobê oraz terapia cukrzycy za pomoc¹ pompy insulinowej,,rycza³t,6.4,30
4015630067732,Cukrzyca,,30%,21.77,30
4015630980987,Cukrzyca typu I; Pozosta³e typy cukrzycy wymagaj¹ce co najmniej 3 wstrzykniêæ insuliny na dobê oraz terapia cukrzycy za pomoc¹ pompy insulinowej,,rycza³t,3.48,31
4015630980987,Cukrzyca,,30%,11.65,31
05909990707010,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci od 6 do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci od 6 do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku ¿ycia,rycza³t,11.99,32
05909990707010,,,,,32
05909990707119,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci od 6 do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci od 6 do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku ¿ycia,rycza³t,17.21,33
05909990707119,,,,,33
05909991080129,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci od 6 do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci od 6 do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku ¿ycia,rycza³t,25.69,34
05909991080129,,,,,34
05909990706914,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci od 6 do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci od 6 do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku ¿ycia,rycza³t,8.95,35
05909990706914,,,,,35
05909991370916,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,5.6,36
05909991370916,,,,,36
05909991370954,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,7.58,37
05909991370954,,,,,37
05909990109920,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,8.3,38
05909990109920,,,,,38
05909990110018,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,11.71,39
05909990110018,,,,,39
05909990055715,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,5.12,40
05909990055715,,,,,40
05909991413590,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,7.57,41
05909991413675,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,11,42
05909991413736,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,20.74,43
05909990109210,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> ³uszczyca - u pacjentów leczonych metotreksatem,rycza³t,3.51,44
05909990109210,,,,,44
05909990109319,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> ³uszczyca - u pacjentów leczonych metotreksatem,rycza³t,5.88,45
05909990109319,,,,,45
05909990907731,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,8.29,46
05909990907755,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,3.2,47
05909990907762,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,3.2,48
05909990907786,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,7.62,49
05909990334971,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,10.42,50
05909990334971,,,,,50
05909990667116,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,4.74,51
05909990667116,,,,,51
05909990891832,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci do 18 roku ¿ycia,30%,6.75,52
05909990891832,,,,,52
05909990891863,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci do 18 roku ¿ycia,30%,13.07,53
05909990891863,,,,,53
05909991056247,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,17.04,54
05909991056247,,,,,54
05909991056773,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,17.04,55
05909991056773,,,,,55
0040565124810,Przewlek³e owrzodzenia,,30%,10.72,56
0040565124810,Epidermolysis bullosa,,bezp³atny do limitu,7.05,56
0040565124858,Przewlek³e owrzodzenia,,30%,15.52,57
0040565124858,Epidermolysis bullosa,,bezp³atny do limitu,8.18,57
0040565124872,Przewlek³e owrzodzenia,,30%,29.34,58
0040565124872,Epidermolysis bullosa,,bezp³atny do limitu,0,58
15051978002970,Przewlek³e owrzodzenia,,30%,6.74,59
15051978002994,Przewlek³e owrzodzenia,,30%,10.81,60
05909990451210,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,15.36,61
05909990237920,Cukrzyca,,rycza³t,4,62
05909990237920,,,,,62
05909990237920,,,,,62
05909990953882,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci od 6 do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci od 6 do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku ¿ycia,rycza³t,24.66,63
05909990953882,,,,,63
05909991125417,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci od 6 do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci od 6 do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku ¿ycia,rycza³t,8.88,64
05909991125417,,,,,64
05909991125516,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci od 6 do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci od 6 do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku ¿ycia,rycza³t,12.11,65
05909991125516,,,,,65
05909991125615,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,nadciœnienie têtnicze inne ni¿ okreœlone w ChPL - u dzieci od 6 do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci od 6 do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku ¿ycia,rycza³t,15.25,66
05909991125615,,,,,66
05906414003741,Zespó³ pêcherza nadreaktywnego,,30%,9.23,67
05906414003741,,,,,67
05906414003758,Zespó³ pêcherza nadreaktywnego,,30%,16.58,68
05906414003758,,,,,68
05909990901890,Przerost gruczo³u krokowego,,rycza³t,3.2,69
05909990901890,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; neurogenna dysfunkcja pêcherza u dzieci do 18 roku ¿ycia; nieneurogenna dysfunkcja pêcherza u dzieci do 18 roku ¿ycia,30%,2.57,69
05909990901890,,,,,69
05909990902255,Przerost gruczo³u krokowego,,rycza³t,3.2,70
05909990902255,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,przewlek³a choroba nerek u dzieci do 18 roku ¿ycia,30%,4.87,70
05909990902255,,,,,70
05909990902293,Przerost gruczo³u krokowego,,rycza³t,9.6,71
05909990902293,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,przewlek³a choroba nerek u dzieci do 18 roku ¿ycia,30%,13.34,71
05909990902293,,,,,71
05909991328696,Leczenie umiarkowanych do ciê¿kich objawów ³agodnego rozrostu gruczo³u krokowego,,30%,12.65,72
15051978000174,Przewlek³e owrzodzenia,,30%,10.71,73
15051978000174,Epidermolysis bullosa,,bezp³atny do limitu,0,73
15051978000167,Przewlek³e owrzodzenia,,30%,11.32,74
15051978000167,Epidermolysis bullosa,,bezp³atny do limitu,0,74
05909990711949,Przerost gruczo³u krokowego,,rycza³t,8.86,75
05909990711949,,,,,75
05909990711987,Przerost gruczo³u krokowego,,rycza³t,21.39,76
05909990711987,,,,,76
05906414001501,Przerost gruczo³u krokowego,,rycza³t,19.59,77
05906414001501,,,,,77
05909990622726,Przerost gruczo³u krokowego,,rycza³t,7.94,78
05909990622726,,,,,78
05900411005883,Przerost gruczo³u krokowego,,rycza³t,7.94,79
05900411005883,,,,,79
05900411005906,Przerost gruczo³u krokowego,,rycza³t,19.59,80
05900411005906,,,,,80
05900411005920,Przerost gruczo³u krokowego,,rycza³t,24.62,81
05900411005920,,,,,81
05909991004545,,,bezp³atny,0,82
05909990893386,Cukrzyca,,30%,6.08,83
05909990893423,Cukrzyca,,30%,5.47,84
05908229300305,,,bezp³atny,0,85
05908229300336,,,bezp³atny,0,86
05908229300367,,,bezp³atny,0,87
05908229300398,,,bezp³atny,0,88
05908229300428,,,bezp³atny,0,89
05909990761548,Leczenie przewlek³ej hiperurykemii u doros³ych pacjentów w chorobach; w których wyst¹pi³o ju¿ odk³adanie siê z³ogów moczanowych; gdy leczenie allopurinolem jest przeciwwskazane lub nie mo¿e byæ kontynuowane z powodu wyst¹pienia dzia³añ niepo¿¹danych,,30%,32.24,90
05909990761562,Zapobieganie i leczenie przewlek³ej hiperurykemii u doros³ych pacjentów poddawanych chemioterapii z powodu nowotworów krwi z umiarkowanym do wysokiego ryzykiem wyst¹pienia zespo³u rozpadu guza; gdy leczenie allopurinolem jest przeciwwskazane lub nie mo¿e byæ kontynuowane z powodu wyst¹pienia dzia³añ niepo¿¹danych,,50%,35.4,91
05909990761562,Leczenie przewlek³ej hiperurykemii u doros³ych pacjentów w chorobach; w których wyst¹pi³o ju¿ odk³adanie siê z³ogów moczanowych; gdy leczenie allopurinolem jest przeciwwskazane lub nie mo¿e byæ kontynuowane z powodu wyst¹pienia dzia³añ niepo¿¹danych,,30%,29.67,91
05909990642267,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,3.75,92
05909990642267,,,,,92
05909990642311,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,2.55,93
05909990642311,,,,,93
05909991069711,Leczenie doraŸne w nag³ych przypadkach ostrych reakcji alergicznych (anafilaksji); wywo³anych przez pokarmy; leki; uk¹szenia i u¿¹dlenia owadów oraz inne alergeny; jak równie¿ w przypadku anafilaksji samoistnej,,50%,27.82,94
05909990471010,,,bezp³atny,0,95
05909990471027,,,bezp³atny,0,96
05909990051052,Stan po przeszczepie narz¹du unaczynionego b¹dŸ szpiku,<1>stan po przeszczepie koñczyny; rogówki; tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespó³ nerczycowy - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê,rycza³t,3.4,97
05909990051076,Stan po przeszczepie narz¹du unaczynionego b¹dŸ szpiku,<1>stan po przeszczepie koñczyny; rogówki; tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespó³ nerczycowy - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê,rycza³t,3.2,98
05909990051137,Stan po przeszczepie narz¹du unaczynionego b¹dŸ szpiku,<1>stan po przeszczepie koñczyny; rogówki; tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespó³ nerczycowy - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê,rycza³t,3.25,99
05909990699957,Stan po przeszczepie narz¹du unaczynionego b¹dŸ szpiku,<1>stan po przeszczepie koñczyny; rogówki; tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespó³ nerczycowy - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê,rycza³t,5.33,100
05909990224302,,,bezp³atny,0,101
05909990224333,,,bezp³atny,0,102
05909990224340,,,bezp³atny,0,103
05909990224357,,,bezp³atny,0,104
05909990697441,,,bezp³atny,0,105
05909990697458,,,bezp³atny,0,106
05909991349226,Zespó³ pêcherza nadreaktywnego,,30%,6.3,107
05909991349226,,,,,107
05909991349325,Zespó³ pêcherza nadreaktywnego,,30%,10.75,108
05909991349325,,,,,108
05909990711567,,,bezp³atny,0,109
05909990711598,,,bezp³atny,0,110
05909991326098,,,bezp³atny,0,111
05909991326104,,,bezp³atny,0,112
05909991326111,,,bezp³atny,0,113
05909991326128,,,bezp³atny,0,114
05909991326135,,,bezp³atny,0,115
05909991326142,,,bezp³atny,0,116
05909991326159,,,bezp³atny,0,117
05909990068425,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,zapalenie b³ony œluzowej ¿o³¹dka u dzieci poni¿ej 2 roku ¿ycia,50%,5.67,118
05909991067540,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,7.04,119
05909991067540,,,,,119
05909991099022,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,4.14,120
05909991099022,,,,,120
05909991302184,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,3.57,121
05909991302184,,,,,121
05909991436636,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,6.84,122
05909991436636,,,,,122
05909991067533,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,3.75,123
05909991067533,,,,,123
05909991098926,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,2.36,124
05909991098926,,,,,124
05909991295226,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,1.96,125
05909991295226,,,,,125
05909991295233,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,3.75,126
05909991295233,,,,,126
05909991436759,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,3.65,127
05909991436759,,,,,127
05909990224883,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,6.83,128
05909990610006,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,7.67,129
05909991388768,Leczenie du¿ych epizodów depresyjnych u doros³ych z widocznymi w obrazie klinicznym objawami zaburzeñ snu lub lêku; lub anhedonii,,30%,19.79,130
05901720140418,Leczenie du¿ych epizodów depresyjnych u doros³ych z widocznymi w obrazie klinicznym objawami zaburzeñ snu lub lêku; lub anhedonii,,30%,54.67,131
05901720140494,Leczenie du¿ych epizodów depresyjnych u doros³ych z widocznymi w obrazie klinicznym objawami zaburzeñ snu lub lêku; lub anhedonii,,30%,19.52,132
05909991387266,Leczenie du¿ych epizodów depresyjnych u doros³ych z widocznymi w obrazie klinicznym objawami zaburzeñ snu lub lêku; lub anhedonii,,30%,20.48,133
09008732009293,Leczenie du¿ych epizodów depresyjnych u doros³ych z widocznymi w obrazie klinicznym objawami zaburzeñ snu lub lêku; lub anhedonii,,30%,18.22,134
05995327174952,Leczenie du¿ych epizodów depresyjnych u doros³ych z widocznymi w obrazie klinicznym objawami zaburzeñ snu lub lêku; lub anhedonii,,30%,18.72,135
05909990754748,Mia¿d¿yca objawowa naczyñ wieñcowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniaj¹cymi leki (do 12 miesiêcy od implantacji stentu) w celu zapobiegania zakrzepom; Stan po zawale miêœnia sercowego bez uniesienia odcinka ST do 12 miesiêcy stosowania; Stan po zawale miêœnia sercowego z uniesieniem odcinka ST do 30 dni stosowania,,30%,7.39,136
05909990754748,,,,,136
05909991251949,Mia¿d¿yca objawowa naczyñ wieñcowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniaj¹cymi leki (do 12 miesiêcy od implantacji stentu) w celu zapobiegania zakrzepom; Stan po zawale miêœnia sercowego bez uniesienia odcinka ST do 12 miesiêcy stosowania; Stan po zawale miêœnia sercowego z uniesieniem odcinka ST do 30 dni stosowania,,30%,6.37,137
05909991251949,,,,,137
05909991397005,Mia¿d¿yca objawowa naczyñ wieñcowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniaj¹cymi leki (do 12 miesiêcy od implantacji stentu) w celu zapobiegania zakrzepom; Stan po zawale miêœnia sercowego bez uniesienia odcinka ST do 12 miesiêcy stosowania; Stan po zawale miêœnia sercowego z uniesieniem odcinka ST do 30 dni stosowania,,30%,6.37,138
05909991397005,,,,,138
05907626709476,Astma; Przewlek³a obturacyjna choroba p³uc; Eozynofilowe zapalenie oskrzeli,,rycza³t,7.27,139
05907626709476,,,,,139
05907626709476,,,,,139
07613421020866,Astma; Przewlek³a obturacyjna choroba p³uc; Eozynofilowe zapalenie oskrzeli,,rycza³t,10,140
07613421020866,,,,,140
07613421020866,,,,,140
07613421047047,Astma; Przewlek³a obturacyjna choroba p³uc; Eozynofilowe zapalenie oskrzeli,,rycza³t,9.44,141
07613421047047,,,,,141
07613421047047,,,,,141
05909991274931,Astma; Przewlek³a obturacyjna choroba p³uc; Eozynofilowe zapalenie oskrzeli,,rycza³t,8.19,142
05909991274931,,,,,142
05909991274931,,,,,142
05909991274955,Astma; Przewlek³a obturacyjna choroba p³uc; Eozynofilowe zapalenie oskrzeli,,rycza³t,8.31,143
05909991274955,,,,,143
05909991274955,,,,,143
05909991442064,Astma; Przewlek³a obturacyjna choroba p³uc; Eozynofilowe zapalenie oskrzeli,,rycza³t,3.2,144
05909991442064,,,,,144
05909991442064,,,,,144
05909991447915,Astma; Przewlek³a obturacyjna choroba p³uc; Eozynofilowe zapalenie oskrzeli,,rycza³t,3.2,145
05909991447915,,,,,145
05909991447915,,,,,145
05909990193219,Choroba i zespó³ Parkinsona,,30%,4.1,146
05909990503834,Choroba i zespó³ Parkinsona,,30%,5.12,147
05909991265762,Choroba i zespó³ Parkinsona,,30%,4.83,148
05909991447311,Choroba i zespó³ Parkinsona,,30%,4.94,149
05909990884216,Choroba i zespó³ Parkinsona,,30%,5.49,150
05909990995479,Jaskra,,rycza³t,3.2,151
05909990995479,,,,,151
05909991189792,Jaskra,,rycza³t,8,152
05909991189792,,,,,152
05909991429249,Jaskra,,rycza³t,3.2,153
05909991429249,,,,,153
05909991429256,Jaskra,,rycza³t,8,154
05909991429256,,,,,154
05909991246563,,,bezp³atny,0,155
05909991008635,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,3,156
05909991008635,,,,,156
05909991008734,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,objaw Raynauda zwi¹zany z twardzin¹ uk³adow¹ - leczenie pierwszoliniowe,30%,5.11,157
05909991008734,,,,,157
05909990005673,,,bezp³atny,0,158
05902768001143,,,bezp³atny,0,159
05909990072156,Osteoporoza,,30%,3.54,160
05909990072156,,,,,160
